iter	MAE	RMSE
118	0.8957899782	1.21593656
119	0.8957045391	1.215684316
120	0.8955711621	1.215379229
121	0.8954704946	1.21511339
122	0.895329613	1.214796244
123	0.8952597678	1.214611887
124	0.8951108644	1.214393642
125	0.8950182097	1.214233309
126	0.8949050548	1.213926569
127	0.8948155311	1.213725027
128	0.894698192	1.213497423
129	0.8946301164	1.213384771
130	0.8945255961	1.213143956
131	0.894459864	1.213029112
132	0.8943292737	1.212844877
133	0.8942607732	1.212720158
134	0.8941782487	1.212599817
135	0.8940525458	1.21244368
136	0.8939194559	1.212220782
137	0.8939032823	1.212056885
138	0.8937927693	1.211826499
139	0.8937358256	1.211737021
140	0.8936349008	1.211582178
141	0.8935497347	1.211414944
142	0.8934462484	1.211280851
143	0.8932915497	1.210906774
144	0.8931326827	1.210532481
145	0.8929795045	1.21021421
146	0.8929357691	1.210075453
147	0.8928670978	1.209894496
148	0.8927227762	1.209571215
149	0.8926078022	1.209196141
150	0.8924953714	1.208954766
151	0.8923869527	1.208802109
152	0.8922849875	1.208589378
153	0.8921949446	1.208365579
154	0.892152934	1.208252102
155	0.8920589461	1.208022333
156	0.8919466323	1.20782013
157	0.8918626597	1.207551021
158	0.8917224416	1.207371102
159	0.8916706702	1.207284244
160	0.8915617773	1.207184055
161	0.8914197464	1.206865809
162	0.8913382969	1.206677284
163	0.8912783992	1.206520265
164	0.8912379677	1.20641998
165	0.8911275204	1.206118489
166	0.8910187226	1.205916197
167	0.8909815063	1.205839708
168	0.890847081	1.205456907
169	0.8907851288	1.205309228
170	0.8907345123	1.205222843
171	0.890666981	1.205122686
172	0.8906028425	1.204970003
173	0.8905124263	1.204823044
174	0.8903912461	1.204472996
175	0.8902537021	1.20418695
176	0.8901678478	1.203975371
177	0.8900974709	1.203853558
178	0.8899344442	1.203417223
179	0.88990493	1.203330969
180	0.8898336636	1.203122944
181	0.8896983832	1.202782406
182	0.8895417962	1.202477201
183	0.8893868777	1.202127619
184	0.8892696171	1.201889526
185	0.889160693	1.20169964
186	0.8890503823	1.201502666
187	0.8889789326	1.2013177
188	0.8888969529	1.201044814
189	0.888822568	1.200859365
190	0.8887502752	1.200805982
191	0.8886593904	1.200605954
192	0.8886450195	1.200555196
193	0.8885978487	1.200428324
194	0.8884971088	1.200211211
195	0.8884037735	1.199975752
196	0.8883801966	1.199895539
197	0.8883040701	1.199729761
198	0.8882339957	1.199553629
199	0.8881795995	1.199418902
200	0.8880940384	1.199249344
201	0.8880630168	1.199110879
202	0.8879610578	1.198831475
203	0.8878748892	1.198623026
204	0.8877733581	1.198459382
205	0.8876727677	1.198219426
206	0.8875935216	1.197958568
207	0.887565295	1.197872477
208	0.8874979628	1.197696493
209	0.8874470015	1.197540687
210	0.8873459654	1.197372086
211	0.8873089482	1.197314911
212	0.8871998389	1.19702998
213	0.887126181	1.196818144
214	0.8870694489	1.196667829
215	0.8869796846	1.196532739
216	0.8869426643	1.196460329
217	0.8868605961	1.196281314
218	0.8868010551	1.196119406
219	0.8867814305	1.196067621
220	0.8866510733	1.195722102
221	0.8866171423	1.195642458
222	0.8865556848	1.195548427
223	0.8865055758	1.195422699
224	0.8863980781	1.195125482
225	0.8863333309	1.195036314
226	0.8862160575	1.194696438
227	0.8861035419	1.194457317
228	0.8860111199	1.194073396
229	0.8858384549	1.193654308
230	0.885713183	1.193361451
231	0.885630463	1.193172255
232	0.8855736285	1.193061723
233	0.8854888177	1.192923467
234	0.8853994323	1.192732242
235	0.8852733048	1.1924408
236	0.8852067557	1.192314743
237	0.8851894217	1.192255588
238	0.8850955302	1.192038846
239	0.8849599349	1.191770269
240	0.8848831721	1.191648854
241	0.8848214315	1.191509438
242	0.8847445115	1.191368173
243	0.8847171985	1.191311615
244	0.8846412903	1.191111127
245	0.8846065417	1.191030576
246	0.8844919294	1.190756716
247	0.8844332876	1.190636692
248	0.8843627552	1.190525829
249	0.8842011803	1.190215827
250	0.8841348233	1.190062868
251	0.8840601115	1.189827935
252	0.8839928807	1.189698207
253	0.8839472366	1.189627005
254	0.8838371904	1.189366297
255	0.8836639989	1.189025509
256	0.8835668511	1.188850722
257	0.8834744562	1.188655804
258	0.8834239214	1.188502307
259	0.8833403147	1.188362789
260	0.8832354995	1.188164448
261	0.8831723294	1.187941743
262	0.8830377067	1.187646039
263	0.8829991398	1.187554347
264	0.8828756296	1.187272417
265	0.8827592232	1.187043759
266	0.8826833713	1.186915163
267	0.8826073097	1.186799804
268	0.8825586232	1.18670207
269	0.8825208105	1.186591077
270	0.8824668855	1.186447138
271	0.8823998617	1.186344251
272	0.8822754573	1.186135849
273	0.8821710275	1.185926846
274	0.8821425622	1.185857592
275	0.8820974672	1.185721275
276	0.8820488942	1.185606393
277	0.882002255	1.185526759
278	0.8819136713	1.185425095
279	0.8818387322	1.185311511
280	0.8817889108	1.185146957
281	0.8817471916	1.185070946
282	0.8817180606	1.184996878
283	0.8815750167	1.184705114
284	0.8814963605	1.18449269
285	0.8814230005	1.184380913
286	0.8813828909	1.184305522
287	0.8813126095	1.184164662
288	0.881247972	1.184066706
289	0.8812103824	1.183966756
290	0.881101362	1.183771848
291	0.881015945	1.183646584
292	0.8809426791	1.183379735
293	0.8808477021	1.18317761
294	0.880731264	1.18301422
295	0.880659067	1.182913447
296	0.8806239592	1.182861709
297	0.8805199024	1.182698745
298	0.8804350839	1.182508074
299	0.8804106452	1.182392154
300	0.8802786445	1.182183504
301	0.8801984432	1.182028413
302	0.8800880676	1.18181357
303	0.8800405742	1.18167367
304	0.8799612441	1.181409289
305	0.8799218032	1.181308266
306	0.8798798291	1.181222548
307	0.8798413327	1.181136708
308	0.8798053947	1.181068342
309	0.8796866877	1.180841858
310	0.8796375424	1.180739369
311	0.8795895441	1.180571699
312	0.8794784998	1.180304835
313	0.8794332124	1.180206443
314	0.879282552	1.179885586
315	0.8792465511	1.179807265
316	0.8791566113	1.179612619
317	0.8791069808	1.17955293
318	0.8790750484	1.179473067
319	0.8790476731	1.179393528
320	0.8789210512	1.179129426
321	0.8788525344	1.178973587
322	0.8787656742	1.178777017
323	0.8787139998	1.178630253
324	0.8785487117	1.178242812
325	0.8784673172	1.178062272
326	0.878412943	1.17796718
327	0.8783609198	1.177825651
328	0.8782840208	1.17761626
329	0.8781778119	1.177459522
330	0.8781370307	1.177338861
331	0.878031627	1.177122584
332	0.8779766975	1.177014979
333	0.877925122	1.176906285
334	0.8778095181	1.176712563
335	0.877775895	1.176641728
336	0.8776969474	1.176471347
337	0.8776668362	1.176404275
338	0.8775954893	1.176270291
339	0.8775186038	1.176153078
340	0.8774256984	1.175955065
341	0.8774068422	1.175917787
342	0.8773334523	1.175733654
343	0.877264764	1.175519263
344	0.8772432948	1.175482236
345	0.8771340186	1.175232861
346	0.8770767934	1.175035154
347	0.8769666853	1.174848113
348	0.8769078641	1.174710373
349	0.8768696922	1.174550941
350	0.8766973406	1.174241679
351	0.8766705127	1.174192426
352	0.8765601583	1.173979686
353	0.8765055556	1.173894264
354	0.8764674884	1.173809636
355	0.8763593885	1.17360617
356	0.8762258503	1.173382504
357	0.8761257554	1.173180483
358	0.8760109179	1.172874634
359	0.8759087324	1.172719074
360	0.8758553545	1.172622963
361	0.875826058	1.172559368
362	0.8757915729	1.172474287
363	0.8757327529	1.172356348
364	0.8756956552	1.172281873
365	0.8756090156	1.172129549
366	0.8755544167	1.172023498
367	0.8755339125	1.171985157
368	0.8754694122	1.171822423
369	0.8754177953	1.171726605
370	0.875360018	1.171594473
371	0.8753311279	1.171533548
372	0.8752350215	1.171364481
373	0.875196791	1.171258502
374	0.8751686219	1.171207442
375	0.8751031229	1.171067295
376	0.8750563441	1.17092298
377	0.8749777632	1.170780276
378	0.8749210545	1.170606384
379	0.8748878622	1.170521729
380	0.8747930538	1.17027282
381	0.8747142391	1.170153138
382	0.8746658304	1.170055044
383	0.8746218249	1.169957463
384	0.8745594845	1.169835105
385	0.8744982533	1.1697267
386	0.8744423122	1.1696012
387	0.8743500037	1.169422418
388	0.8742857325	1.169268263
389	0.8742376092	1.169080928
390	0.8741582036	1.168984395
391	0.8740650757	1.168785251
392	0.8739902393	1.168660431
393	0.8739389999	1.168566408
394	0.8739157281	1.168517326
395	0.8738391455	1.168346172
396	0.8737620341	1.168234421
397	0.873693881	1.168041705
398	0.8736446019	1.167951723
399	0.8735532575	1.16779149
400	0.8735148701	1.167674952
401	0.8734662908	1.167544595
402	0.8733926271	1.167356615
403	0.8733259261	1.167192089
404	0.8732251701	1.166953201
405	0.8731595721	1.166830466
406	0.8731270056	1.166758972
407	0.8730579689	1.166579936
408	0.8729910908	1.166485015
409	0.8729413831	1.166376847
410	0.8728833554	1.166232539
411	0.8727855355	1.165985042
412	0.8727467665	1.165926339
413	0.8726647251	1.165765024
414	0.8726153149	1.165634911
415	0.8725546733	1.165479636
416	0.8724605521	1.165283004
417	0.8723731284	1.165153605
418	0.8723011842	1.165004673
419	0.8722350985	1.164863446
420	0.8721958526	1.164791007
421	0.8721493402	1.164691555
422	0.8720767995	1.164568971
423	0.8720413053	1.164493018
424	0.8719750883	1.16438209
425	0.8718606054	1.164170121
426	0.8717908203	1.164030377
427	0.8717138727	1.163951453
428	0.8716467725	1.163838776
429	0.8716243665	1.16380046
430	0.8715294668	1.163635509
431	0.8714663422	1.163474693
432	0.8714234725	1.163394808
433	0.8714046169	1.163359695
434	0.8713226075	1.16320224
435	0.8712363846	1.163035352
436	0.8711759126	1.162930269
437	0.871150152	1.162860911
438	0.8710891295	1.162707399
439	0.8709674867	1.162484796
440	0.8709041743	1.162381102
441	0.8708268899	1.162241158
442	0.8707850073	1.162157888
443	0.8707682595	1.162125238
444	0.8706891952	1.161987976
445	0.870640925	1.16190882
446	0.87060344	1.161835234
447	0.8705412041	1.161756646
448	0.8705060026	1.161675202
449	0.8704880352	1.161637821
450	0.8704050836	1.161463686
451	0.870353907	1.161332334
452	0.8702697712	1.161191617
453	0.8701938056	1.161067958
454	0.8701602172	1.160996846
455	0.8701120179	1.160897643
456	0.8700695532	1.160799543
457	0.8700565132	1.160779768
458	0.8700280735	1.160735955
459	0.8699837094	1.160662885
460	0.869909522	1.160526003
461	0.8698684726	1.160456704
462	0.8697771119	1.160316358
463	0.8696877206	1.160173399
464	0.8696466384	1.16011843
465	0.8696014678	1.160023572
466	0.8695642576	1.159956364
467	0.8694977453	1.159849967
468	0.8694245624	1.159717174
469	0.8693305333	1.159521971
470	0.8692681735	1.159411393
471	0.8692189715	1.159355778
472	0.8691642512	1.15919389
473	0.8691145632	1.159100355
474	0.8690381149	1.158957092
475	0.8689640241	1.158854709
476	0.8689348251	1.15879161
477	0.8689027972	1.158705978
478	0.8688209812	1.158513332
479	0.8687380356	1.158340825
480	0.8686487489	1.158212891
481	0.8685825629	1.15807169
482	0.8685359972	1.157986383
483	0.8684742676	1.157874326
484	0.8684112582	1.157755198
485	0.8683088087	1.15763229
486	0.8682463603	1.157540263
487	0.8681887502	1.157417368
488	0.8681290798	1.157285949
489	0.8680774366	1.157173617
490	0.8680192699	1.157028014
491	0.8679884016	1.156986995
492	0.8679435521	1.156879631
493	0.8679082213	1.156818274
494	0.8678662594	1.156728143
495	0.867815166	1.1566537
496	0.8677116302	1.156464039
497	0.8676987735	1.156432973
498	0.8676882518	1.156403153
499	0.8676032698	1.156197726
