iter	Accuracy	MultiClass
311	0.5911343752	0.8791216061
312	0.5912355232	0.879033819
313	0.5912355232	0.8789240026
314	0.5913619582	0.8788168069
315	0.5913113842	0.8786919941
316	0.5914125322	0.8786003144
317	0.5912860972	0.8784615147
318	0.5913366712	0.8783283872
319	0.5911090882	0.8782280326
320	0.5911343752	0.8781804577
321	0.5911343752	0.8780910164
322	0.5914125322	0.8779700912
323	0.5914125322	0.877874332
324	0.5914378192	0.877747688
325	0.5914378192	0.8776017918
326	0.5914378192	0.8775514675
327	0.5916654023	0.8774162972
328	0.5919941334	0.8772486312
329	0.5918171244	0.8771110457
330	0.5918171244	0.876998339
331	0.5917665503	0.8769181849
332	0.5918424114	0.8768274982
333	0.5921205685	0.8766766312
334	0.5921964295	0.8766331601
335	0.5922470035	0.8765507291
336	0.5923481515	0.8764360775
337	0.5922722905	0.8763264031
338	0.5924240125	0.8762416019
339	0.5924492995	0.8760999074
340	0.5926010216	0.8760123856
341	0.5925251606	0.8759725827
342	0.5928033177	0.8758922819
343	0.5928538917	0.8758001448
344	0.5928033177	0.8757270769
345	0.5929044657	0.8756609341
346	0.5928538917	0.8755790459
347	0.5929550397	0.8754782178
348	0.5930309007	0.8753545261
349	0.5930561877	0.8752864286
350	0.5929550397	0.8752316534
351	0.5930056137	0.8751395202
352	0.5930309007	0.8750661412
353	0.5934607799	0.8749388847
354	0.5932584838	0.8748616891
355	0.5933596318	0.874715692
356	0.5934607799	0.8746396521
357	0.5933596318	0.8745246302
358	0.5933343448	0.8744414731
359	0.5932837708	0.8743798317
360	0.5932079098	0.8742827502
361	0.5931573358	0.874202295
362	0.5933596318	0.8741341711
363	0.5933596318	0.8740183662
364	0.5933596318	0.8739020968
365	0.5935619279	0.8738169473
366	0.5936377889	0.8736692744
367	0.5937895109	0.873592584
368	0.5936377889	0.8734906118
369	0.5936125019	0.8733883464
370	0.5935872149	0.8733229001
371	0.5935619279	0.8732057374
372	0.5935366409	0.8731335377
373	0.5936377889	0.8730530173
374	0.5937895109	0.8729437538
375	0.593890659	0.8728445677
376	0.594118242	0.8727482449
377	0.5943711121	0.8725949065
378	0.5945734082	0.8725338368
379	0.5946998432	0.8724223578
380	0.5948262783	0.8723267767
381	0.5947251302	0.8721922233
382	0.5951550094	0.8720332799
383	0.5952561574	0.8719911102
384	0.5952055834	0.8718914442
385	0.5950538613	0.8718495285
386	0.5950791483	0.8717977169
387	0.5953067314	0.8716902009
388	0.5953573054	0.8716390071
389	0.5952561574	0.8715845319
390	0.5955090275	0.8714877501
391	0.5953320184	0.8713460683
392	0.5953067314	0.8712965181
393	0.5953067314	0.8711916059
394	0.5954837405	0.8711161843
395	0.5954078794	0.8709991542
396	0.5954584534	0.8709003957
397	0.5954078794	0.8708402136
398	0.5954584534	0.8707921537
399	0.5956354625	0.8706918335
400	0.5954584534	0.8706063385
401	0.5955343145	0.8704876985
402	0.5957618975	0.870414738
403	0.5957871845	0.8703200749
404	0.5958377586	0.8702725687
405	0.5957366105	0.8701392703
406	0.5956607495	0.8700386649
407	0.5960400546	0.8699363816
408	0.5960147676	0.8698749736
409	0.5957618975	0.8697828327
410	0.5958630456	0.8696542172
411	0.5959894806	0.8695820983
412	0.5963687857	0.8694633587
413	0.5963434987	0.8694063235
414	0.5962929247	0.8693565982
415	0.5963434987	0.8692510106
416	0.5962929247	0.8691592628
417	0.5964699337	0.8690710427
418	0.5964446467	0.8689809607
419	0.5965457948	0.8689419462
420	0.5966469428	0.8688738067
421	0.5967733778	0.8688104126
422	0.5967733778	0.8687109251
423	0.5968239519	0.8686606444
424	0.5970768219	0.8685240473
425	0.5971273959	0.8684766285
426	0.5969250999	0.8683654559
427	0.59717797	0.8682750104
428	0.597203257	0.8682082935
429	0.59717797	0.8681640076
430	0.597354979	0.8680568657
431	0.597304405	0.867980183
432	0.5975825621	0.8678437128
433	0.5976584231	0.8676747123
434	0.5976837101	0.8676361104
435	0.5976837101	0.8674980234
436	0.5977848581	0.8673930441
437	0.5978354322	0.8672495592
438	0.5980883022	0.8670977442
439	0.5980630152	0.8670115586
440	0.5982905983	0.8669396716
441	0.5983664593	0.8668705991
442	0.5981894503	0.8668103831
443	0.5982653113	0.866668807
444	0.5983664593	0.8665705434
445	0.5984928944	0.8664864908
446	0.5985181814	0.8664030416
447	0.5985434684	0.8663380153
448	0.5986193294	0.8662770435
449	0.5986193294	0.8662279586
450	0.5985940424	0.86620318
451	0.5985434684	0.8661320888
452	0.5985940424	0.8660782583
453	0.5987204774	0.8659964386
454	0.5987457644	0.8658528222
455	0.5986446164	0.865784278
456	0.5988216254	0.8657059632
457	0.5988469125	0.8656205289
458	0.5988721995	0.8655716334
459	0.5989986345	0.8654635131
460	0.5988974865	0.8654368977
461	0.5989480605	0.8653061366
462	0.5988216254	0.8652085516
463	0.5989986345	0.8651454509
464	0.5989986345	0.865079401
465	0.5987963384	0.864984438
466	0.5988974865	0.8648924777
467	0.5988721995	0.8647945535
468	0.5987963384	0.8647527699
469	0.5988721995	0.8646724661
470	0.5988721995	0.8646067575
471	0.5990744955	0.8644964269
472	0.5993779396	0.8643545236
473	0.5992515046	0.8642915656
474	0.5994790876	0.8642083912
475	0.5994032266	0.8641589115
476	0.5994790876	0.8640531354
477	0.5993273656	0.8639885829
478	0.5996560967	0.863877617
479	0.5997319577	0.8638102448
480	0.5996813837	0.863721953
481	0.5997066707	0.8636556864
482	0.5997572447	0.8635614147
483	0.5997066707	0.8635135781
484	0.5997572447	0.8634675387
485	0.5997319577	0.8633642459
486	0.5996813837	0.863250551
487	0.5997572447	0.863186099
488	0.5999848278	0.8630913785
489	0.6000101148	0.8630399073
490	0.6002124109	0.8629317184
491	0.6001871239	0.8628543093
492	0.6002124109	0.8627652026
493	0.6000606888	0.8626793009
494	0.6001365498	0.8625690073
495	0.6000859758	0.8624945216
496	0.6001112628	0.8624254576
497	0.6002124109	0.8623601488
498	0.6001112628	0.8622953403
499	0.6004399939	0.8622217889
