iter	Passed	Remaining
399	37149	9287
400	37254	9197
401	37369	9109
402	37466	9017
403	37548	8922
404	37659	8833
405	37758	8742
406	37872	8653
407	37995	8567
408	38113	8479
409	38210	8387
410	38325	8299
411	38435	8209
412	38543	8119
413	38653	8029
414	38748	7936
415	38848	7844
416	38951	7752
417	39045	7659
418	39156	7569
419	39262	7478
420	39364	7386
421	39466	7294
422	39562	7201
423	39645	7106
424	39737	7012
425	39836	6919
426	39945	6829
427	40043	6736
428	40142	6643
429	40240	6550
430	40340	6458
431	40432	6364
432	40515	6269
433	40601	6174
434	40694	6080
435	40808	5990
436	40955	5904
437	41064	5812
438	41161	5719
439	41259	5626
440	41350	5532
441	41436	5437
442	41534	5344
443	41634	5251
444	41723	5156
445	41823	5063
446	41918	4970
447	41995	4874
448	42076	4779
449	42167	4685
450	42280	4593
451	42371	4499
452	42458	4405
453	42557	4312
454	42674	4220
455	42795	4129
456	42900	4036
457	42995	3942
458	43079	3848
459	43176	3754
460	43296	3662
461	43395	3569
462	43490	3475
463	43580	3381
464	43674	3287
465	43770	3193
466	43854	3098
467	43963	3006
468	44054	2911
469	44144	2817
470	44236	2723
471	44338	2630
472	44426	2535
473	44534	2442
474	44634	2349
475	44754	2256
476	44869	2163
477	44959	2069
478	45067	1975
479	45157	1881
480	45243	1787
481	45331	1692
482	45419	1598
483	45526	1505
484	45614	1410
485	45712	1316
486	45805	1222
487	45894	1128
488	45984	1034
489	46088	940
490	46175	846
491	46282	752
492	46411	658
493	46527	565
494	46638	471
495	46731	376
496	46815	282
497	46913	188
498	47014	94
499	47109	0
